date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,MMI50delta10,RSI15,RSI25,RSI25Log,StdRetdelta10,StdRetdelta20,bollWidth,bollWidth10,bollWidth20,diffToMeanVol10,diffToMeanVol30,ewm12,ewm26,ewm40,hurst,logBollWidth,lowLoss,lowWin,lowerBand,ma20,macd,mmi100,mmi50,movStdDev,priceEwm,returns,symbol,target4_8,topLoss,topWin,topband
2000-06-07,70.0,72.25,65.5,67.0,44.6298,8170500.0,0.0,1.0,,,,,,,,,,0.0,0.0,44.6298,44.6298,44.6298,0.0,,,,,44.6298,0.0,0.0,0.0,0.0,-0.03236517628432978,0.0,A,,,,
2000-06-08,67.0,69.81,66.81,69.13,46.0486,6846400.0,0.0,1.0,,1.0,1.0,0.0,,,0.08850999586648832,,,-662050.0,-662050.0,44.848076923076924,44.7348962962963,44.69900975609756,0.0,-2.4246397857024222,,,43.33271379770506,45.33920000000001,0.11318062678062545,0.0,0.0,100.32431011474718,-0.03236517628432978,141.87999999999974,A,,,,47.34568620229495
2000-06-09,69.75,72.81,69.75,70.88,47.2143,6631000.0,0.0,1.0,,1.0,1.0,0.0,,,0.11263661018672445,,,-584966.666666667,-584966.666666667,45.212111242603555,44.91855582990398,44.82170684116597,0.0,-2.183588481248217,,,43.37560561708417,45.96423333333334,0.2935554126995754,0.0,0.0,75.67374643824625,-0.03236517628432978,116.57000000000008,A,,,,48.5528610495825
2000-06-12,72.63,72.63,65.25,66.0,43.9637,4059300.0,0.0,1.0,,0.3931888689378216,0.4127773173029665,-1.0857607408506467,,,0.1280233904114733,,,-2367500.0,-2367500.0,45.020047974510696,44.84782576842961,44.77985284891397,0.0,-2.055542294167364,,,42.55386588799687,45.4641,0.17222220608108785,0.0,0.0,214.68836319574157,-0.03236517628432978,-325.05999999999983,A,,,,48.37433411200313
2000-06-13,64.5,71.75,64.5,69.06,46.001999999999995,5521000.0,0.0,1.0,,0.5770940175308635,0.5802269103309028,-0.6414681647220891,,,0.11260704334560635,,,-724640.0,-724640.0,45.17111751689366,44.93332015595334,44.83946978311329,0.0,-2.1838510133180367,,,43.005833927453956,45.57168,0.2377973609403199,0.0,0.0,210.45385843457444,-0.03236517628432978,203.82999999999925,A,,,,48.137526072546045
2000-06-14,70.75,71.5,67.0,67.75,45.1294,4013500.0,0.0,1.0,,0.5025730333011083,0.512455483571453,-0.7983380099938303,,,0.1021232672691066,,,-1860116.666666667,-1860116.666666667,45.16469943737156,44.94784458884568,44.85361272052239,0.0,-2.2815746927110814,,,43.17476616161621,45.49796666666666,0.2168548485258768,0.0,0.0,193.9729254990669,-0.03236517628432978,-87.25999999999985,A,,,,47.82116717171712
2000-06-15,67.94,67.94,64.81,65.94,43.9237,4862500.0,0.0,1.0,,0.4174491235211902,0.4361926012917245,-1.0104475996972595,,,0.10743033544559502,,,-866671.4285714282,-866671.4285714282,44.973776447006706,44.87198202670897,44.80825112439935,0.0,-2.230912683851193,,,42.84122080345953,45.273071428571434,0.10179442029773612,0.0,0.0,183.65200386548864,-0.03236517628432978,-120.57000000000002,A,,,,47.704922053683326
2000-06-16,66.19,66.56,62.0,62.63,41.7188,4640700.0,0.0,1.0,,0.30830979324179936,0.3368729912069138,-1.3782115700715918,,,0.1505388627903154,,,-952412.5,-952412.5,44.47301083977491,44.63841298769349,44.657546191501815,0.0,-1.8935340036070516,,,41.45455015474065,44.8287875,-0.16540214791858432,0.0,0.0,185.5894251721099,-0.03236517628432978,-220.4899999999995,A,,,,48.20302484525935
2000-06-19,62.13,69.0,62.13,68.0,45.2959,4872300.0,0.0,1.0,,0.5341348349505732,0.5264004944705686,-0.7639869479586975,,,0.14133628536540432,,,-640722.222222222,-640722.222222222,44.59960917211723,44.68711572934583,44.68868540167246,0.0,-1.9566132256170488,,,41.709053962790925,44.88068888888889,-0.08750655722859335,0.0,0.0,217.70389881927025,-0.03236517628432978,357.71000000000015,A,,,,48.052323814986856
2000-06-20,68.94,75.88,68.38,73.63,49.0461,8382100.0,0.0,1.0,,0.6651292938873451,0.6424609883620156,-0.5163148502394298,,,0.17595784855185928,,,2582170.0,2582170.0,45.2836846840992,45.01000345309799,44.90124221134697,0.0,-1.737510809492375,,,41.31202843192063,45.29723,0.2736812310012127,0.0,0.0,235.88819932096825,-0.03236517628432978,375.02,A,,,,49.28243156807937
